"parameter","eyeWidth","rakerLength","rakerSpace","rakerCount","pecFinLength","pecFinWidth","pecFinRatio","pecFinAngle"
"intercept","2.2341 (2.0901, 2.3773)","2.5785 (2.3106, 2.8269)","1.8547 (1.6562, 2.0572)","2.3869 (2.2925, 2.4831)","3.3615 (3.1427, 3.577)","1.7688 (1.5622, 1.9962)","1.6014 (1.3733, 1.8157)","4.2357 (4.0033, 4.4612)"
"log(DOC)","-0.0155 (-0.0706, 0.0397)","0.1961 (0.1033, 0.2916)","0.0942 (0.0223, 0.1655)","-2e-04 (-0.033, 0.0322)","0.0627 (-0.0172, 0.1422)","0.0362 (-0.0418, 0.1096)","0.0227 (-0.0557, 0.1023)","0.0102 (-0.073, 0.0944)"
"basin","0.0243 (-0.1477, 0.1962)","0.2732 (-0.021, 0.5696)","0.2327 (-0.0041, 0.4552)","-0.0269 (-0.1393, 0.0753)","0.286 (0.0278, 0.5316)","0.2086 (-0.0523, 0.4355)","0.0403 (-0.2077, 0.2887)","0.0458 (-0.2185, 0.3074)"
"captureMethodEl","-0.0203 (-0.0533, 0.0161)","-0.0215 (-0.1034, 0.0998)","-0.1236 (-0.2041, -0.0299)","0.1093 (0.0654, 0.1608)","-0.0424 (-0.1121, 0.0604)","-0.0687 (-0.156, 0.0271)","0.0456 (-0.0329, 0.1488)","-0.1617 (-0.2407, -0.0629)"
"captureMethodFN","-0.0079 (-0.0362, 0.0228)","-0.0622 (-0.1321, 0.0438)","-0.0769 (-0.1544, -0.0073)","0.0435 (0.0025, 0.0823)","-0.0182 (-0.0781, 0.0535)","-0.0223 (-0.1035, 0.0486)","0.005 (-0.06, 0.0904)","-0.1409 (-0.2094, -0.0614)"
"log(DOC):basin","-0.0043 (-0.0787, 0.0701)","-0.0817 (-0.2106, 0.0451)","-0.1011 (-0.1975, 5e-04)","-0.012 (-0.0562, 0.0361)","-0.1161 (-0.2219, -0.0065)","-0.0861 (-0.1836, 0.0236)","-0.0171 (-0.1239, 0.0888)","0.0394 (-0.074, 0.1532)"
"sigmaLake","0.0401 (0.0229, 0.0519)","0.0669 (0.0274, 0.0869)","0.0478 (0, 0.063)","0.0164 (0, 0.0242)","0.0543 (0.015, 0.0711)","0.0443 (0, 0.0597)","0.0497 (0, 0.0664)","0.0573 (0.0248, 0.0751)"
"sigmaRes","0.0509 (0.0474, 0.0545)","0.1476 (0.1377, 0.1586)","0.1562 (0.1458, 0.1679)","0.1052 (0.0982, 0.1129)","0.1047 (0.0951, 0.1158)","0.153 (0.1395, 0.17)","0.1246 (0.1132, 0.1377)","0.1431 (0.1335, 0.1533)"
"R2marginal","0.0348","0.2221","0.1069","0.0884","0.0678","0.0305","0.0182","0.1323"
"R2conditional","0.4047","0.3547","0.1834","0.1101","0.2654","0.1056","0.153","0.2523"
