Lake,DOC,DOC_bin,proc_var,,bin_means
Lost,4.02,0-10,0.0008473,,0.000788263
Little_Crooked,4.07,0-10,0.0007582,,0.0008249
Crampton,5,0-10,0.0007674,,0.000869487
Towanda,5.29,0-10,0.000965,,
Found,6.21,0-10,0.0006632,,
Papoose,6.49,0-10,0.0007929,,
Muskellunge,6.66,0-10,0.0006901,,
Bay,7.4,0-10,0.000822,,
Birch,10.9,10-15.00,0.0009595,,
Oxbow,11.12,10-15.00,0.0008587,,
McCullough,14.3,10-15.00,0.0006565,,
Red_Bass,18.9,15-25,0.0006691,,
Squaw,23.85,15-25,0.00102689,,
Hummingbird,24.5,15-25,0.00091247,,
