lakeID,eyeEstimate,stdError,DOC,eye_coef,eye_coefSE,fitted,max_Depth(m),surface_Area(ha),LMB,SMB,Musk,Pike,Walleye,Trout,basin
BA,-0.003043886,0.003903977,7.4,0.9662222,0.003903977,0.9527534,12.2,67.33,1,1,0,0,0,0,4
BH,0.008442928,0.003966291,10.9,0.977709,0.003966291,0.961634,13.7,204.76,1,1,1,1,1,0,7
CR,0.006474066,0.003903977,5,0.9757402,0.003903977,0.9649095,18.5,25.9,1,1,0,0,0,0,4
FD,0.012533659,0.003903977,6.21,0.9817998,0.003903977,0.9695107,6.4,135.97,1,0,1,1,1,0,7
HB,-0.007396188,0.003903977,24.5,0.9618699,0.003903977,0.9403446,7.62,0.75,1,0,0,0,0,0,4
LC,-0.006072169,0.003903977,4.07,0.9631939,0.003903977,0.9537482,9.1,62,1,0,1,1,1,0,7
LT,0.000112374,0.003903977,4.02,0.9693785,0.003903977,0.9600159,6.1,218.13,1,0,1,1,1,0,7
MC,0.00261709,0.003903977,14.3,0.9718832,0.003903977,0.9539811,8.2,89.43,1,0,1,1,1,0,4
MS,0.009298081,0.003903977,6.66,0.9785642,0.003903977,0.9658043,5.8,109.3,1,0,1,1,1,0,7
OB,-0.030743492,0.003903977,11.12,0.9385226,0.003903977,0.9223131,13.41,212,1,1,1,1,1,0,4
PS,-0.024845279,0.003903977,6.49,0.9444208,0.003903977,0.931835,19.81,171,1,1,1,1,1,0,7
RS,0.021731249,0.003903977,18.9,0.9909973,0.003903977,0.9712184,6.7,10.9,1,0,0,0,0,1,4
SQ,-0.00096029,0.004031687,23.85,0.9683058,0.004031687,0.9469615,6.4,298,1,1,1,1,1,0,7
TO,0.011851858,0.003903977,5.29,0.981118,0.003903977,0.9699079,8.2,56.3,1,0,1,1,1,0,7
