Lake,coef_L,coef_S,coef_C,SE_L,SE_S,SE_C,ranef_L,ranef_S,ranef_C,rSE_L,rSE_S,rSE_C,DOC,fitted_L,fitted_S,fitted_C
Bay,1.155629,0.6046043,1.053834,0.01143854,0.02457726,0.007558214,-0.060903052,0.107301275,0.007558214,0.01143854,0.02457726,0.007558214,7.4,2.86961,2.131404,11.35506
Birch,1.23402,0.4461092,1.061252,0.01143854,0.02457726,0.007558214,0.017488242,-0.051193873,0.007558214,0.01143854,0.02457726,0.007558214,10.9,3.090491,1.909499,11.26896
Crampton,1.172234,0.4108173,1.077058,0.01109501,0.02381714,0.007361137,-0.04429762,-0.086485802,0.007361137,0.01109501,0.02381714,0.007361137,5,2.866971,1.540391,11.44289
Found,1.23165,0.4343127,1.082884,0.01109501,0.02381714,0.007361137,0.015118677,-0.062990334,0.007361137,0.01109501,0.02381714,0.007361137,6.21,3.026377,1.674538,11.39425
Hummingbird,1.207724,0.598631,1.072609,0.01109501,0.02381714,0.007361137,-0.008807716,0.101327907,0.007361137,0.01109501,0.02381714,0.007361137,24.5,3.114384,2.559835,11.091
Little_Crooked,1.213457,0.4891575,1.081955,0.01126284,0.02418825,0.007457723,-0.003074333,-0.008145545,0.007457723,0.01126284,0.02418825,0.007457723,4.07,2.940434,1.644765,11.48926
Lost,1.239899,0.5893808,1.055019,0.01126284,0.02418825,0.007457723,0.023367673,0.092077767,0.007457723,0.01126284,0.02418825,0.007457723,4.02,3.00003,1.870972,11.49205
McCullough,1.174566,0.4879224,1.06923,0.01109501,0.02381714,0.007361137,-0.041965569,-0.009380628,0.007361137,0.01109501,0.02381714,0.007361137,14.3,2.9819,2.106055,11.20899
Muskellunge,1.249353,0.4365774,1.08366,0.01109501,0.02381714,0.007361137,0.032821298,-0.060725694,0.007361137,0.01109501,0.02381714,0.007361137,6.66,3.074433,1.705592,11.37859
Oxbow,1.243768,0.5130008,1.088996,0.01109501,0.02381714,0.007361137,0.027236252,0.015697752,0.007361137,0.01109501,0.02381714,0.007361137,11.12,3.11502,2.070903,11.26453
Papoose,1.225851,0.4579247,1.056481,0.01143854,0.02457726,0.007558214,0.009319386,-0.039378316,0.007558214,0.01143854,0.02457726,0.007558214,6.49,3.017622,1.745196,11.38438
Red Bass,1.248681,0.555178,1.075832,0.01109501,0.02381714,0.007361137,0.03214877,0.057874944,0.007361137,0.01109501,0.02381714,0.007361137,18.9,3.181633,2.36393,11.14772
Squaw,1.21194,0.3778096,1.055012,0.01201945,0.02586752,0.007885958,-0.004591368,-0.119493489,0.007885958,0.01201945,0.02586752,0.007885958,23.85,3.121289,2.041443,11.09687
Towanda,1.222671,0.5608171,1.053335,0.01143854,0.02457726,0.007558214,0.006139359,0.063514035,0.007558214,0.01143854,0.02457726,0.007558214,5.29,2.988984,1.906602,11.43021
